"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type"
"平日_08時40分_系統3001","08:40:00","08:40:00","Ei-1_02","1","日の出方面","0","1"
"平日_08時40分_系統3001","08:40:00","08:40:00","Ei-61_01","2","日の出方面","0","0"
"平日_08時40分_系統3001","08:41:00","08:41:00","Ei-2_01","3","日の出方面","0","0"
"平日_08時40分_系統3001","08:42:00","08:42:00","Ei-3_01","4","日の出方面","0","0"
"平日_08時40分_系統3001","08:44:00","08:44:00","Ei-4_01","5","日の出方面","0","0"
"平日_08時40分_系統3001","08:44:00","08:44:00","Ei-5_01","6","日の出方面","0","0"
"平日_08時40分_系統3001","08:45:00","08:45:00","Ei-6_01","7","日の出方面","0","0"
"平日_08時40分_系統3001","08:45:00","08:45:00","Ei-7_01","8","日の出方面","0","0"
"平日_08時40分_系統3001","08:46:00","08:46:00","Ei-8_01","9","日の出方面","0","0"
"平日_08時40分_系統3001","08:46:00","08:46:00","Ei-9_01","10","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:46:00","08:46:00","Ei-10_01","11","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:47:00","08:47:00","Ei-11_01","12","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:47:00","08:47:00","Ei-12_01","13","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:48:00","08:48:00","Ei-13_01","14","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:49:00","08:49:00","Ei-14_01","15","日の出・枝光本町商店街方面","0","0"
"平日_08時40分_系統3001","08:49:00","08:49:00","Ei-15_01","16","枝光本町商店街","0","0"
"平日_08時40分_系統3001","08:50:00","08:50:00","Ei-16_01","17","枝光本町商店街","0","0"
"平日_08時40分_系統3001","08:51:00","08:51:00","Ei-17_01","18","枝光本町商店街","0","0"
"平日_08時40分_系統3001","08:52:00","08:52:00","Ei-18_01","19","枝光本町商店街","0","0"
"平日_08時40分_系統3001","08:53:00","08:53:00","Ei-19_01","20","枝光本町商店街","0","0"
