"table_name","field_name","language","translation","field_value"
"routes","route_name","ja","田代・河内ルート","田代・河内ルート"
"routes","route_name","en","Tashiro・Kawachi Line","田代・河内ルート"
"stops","stop_name","ja","田代","田代"
"stops","stop_name","ja-Hrkt","たしろ","田代"
"stops","stop_name","en","Tashiro","田代"
"stops","stop_name","ja","田代入口","田代入口"
"stops","stop_name","ja-Hrkt","たしろいりぐち","田代入口"
"stops","stop_name","en","Tashiroiriguchi","田代入口"
"stops","stop_name","ja","奥田入口","奥田入口"
"stops","stop_name","ja-Hrkt","おくだいりぐち","奥田入口"
"stops","stop_name","en","Okudairiguchi","奥田入口"
"stops","stop_name","ja","河内小学校前","河内小学校前"
"stops","stop_name","ja-Hrkt","かわちしょうがっこうまえ","河内小学校前"
"stops","stop_name","en","Kawachi Elem. Sch. Entrance","河内小学校前"
"stops","stop_name","ja","宮前","宮前"
"stops","stop_name","ja-Hrkt","みやまえ","宮前"
"stops","stop_name","en","Miyamae","宮前"
"stops","stop_name","ja","三本松","三本松"
"stops","stop_name","ja-Hrkt","さんぼんまつ","三本松"
"stops","stop_name","en","Sanbonmatsu","三本松"
"stops","stop_name","ja","東河内","東河内"
"stops","stop_name","ja-Hrkt","ひがしかわち","東河内"
"stops","stop_name","en","Higashikawachi","東河内"
"stops","stop_name","ja","登山口","登山口"
"stops","stop_name","ja-Hrkt","とざんぐち","登山口"
"stops","stop_name","en","Tozanguchi","登山口"
"stops","stop_name","ja","上重田","上重田"
"stops","stop_name","ja-Hrkt","かみじゅうた","上重田"
"stops","stop_name","en","Kamijyuta","上重田"
"stops","stop_name","ja","サンキュードラッグ前","サンキュードラッグ前"
"stops","stop_name","ja-Hrkt","さんきゅーどらっぐまえ","サンキュードラッグ前"
"stops","stop_name","en","Sankyuudoraggu Entrance","サンキュードラッグ前"
"stops","stop_name","ja","信用金庫前","信用金庫前"
"stops","stop_name","ja-Hrkt","しんようきんこまえ","信用金庫前"
"stops","stop_name","ja","北野刃物店前","北野刃物店前"
"stops","stop_name","ja-Hrkt","きたのはものてんまえ","北野刃物店前"
"stops","stop_name","ja","大蔵郵便局前","大蔵郵便局前"
"stops","stop_name","ja-Hrkt","おおくらゆうびんきょくまえ","大蔵郵便局前"
"stops","stop_name","ja","大蔵バス停前","大蔵バス停前"
"stops","stop_name","ja-Hrkt","おおくらばすていまえ","大蔵バス停前"
"stops","stop_name","ja","明遵寺駐車場入口","明遵寺駐車場入口"
"stops","stop_name","ja-Hrkt","めいそんじちゅうしゃじょういりぐち","明遵寺駐車場入口"
"stops","stop_name","ja","麻生病院下","麻生病院下"
"stops","stop_name","ja-Hrkt","あそうびょういんした","麻生病院下"
"stops","stop_name","ja","溝上宅横","溝上宅横"
"stops","stop_name","ja-Hrkt","みぞがみたくよこ","溝上宅横"
"stops","stop_name","ja","伊福宅前","伊福宅前"
"stops","stop_name","ja-Hrkt","いふくたくまえ","伊福宅前"
"stops","stop_name","ja","勝山北団地入口","勝山北団地入口"
"stops","stop_name","ja-Hrkt","かつやまきただんちいりぐち","勝山北団地入口"
"stops","stop_name","ja","高速道路下","高速道路下"
"stops","stop_name","ja-Hrkt","こうそくどうろした","高速道路下"
"stops","stop_name","ja","鶴田宅下","鶴田宅下"
