"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","bikes_allowed"
"3001","平日（枝光）","平日_08時40分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_08時40分_系統1001","荒手方面","","","","1001",""
"4001","平日（枝光）","平日_09時00分_系統4001","山王方面","","","","4001",""
"2001","平日（枝光）","平日_09時00分_系統2001","枝光小学校方面","","","","2001",""
"1001","平日（枝光）","平日_09時20分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_09時20分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_09時40分_系統1001","荒手方面","","","","1001",""
"4001","平日（枝光）","平日_09時40分_系統4001","山王方面","","","","4001",""
"3001","平日（枝光）","平日_10時00分_系統3001","日の出方面","","","","3001",""
"2001","平日（枝光）","平日_10時00分_系統2001","枝光小学校方面","","","","2001",""
"1001","平日（枝光）","平日_10時20分_系統1001","荒手方面","","","","1001",""
"4001","平日（枝光）","平日_10時20分_系統4001","山王方面","","","","4001",""
"1001","平日（枝光）","平日_10時40分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_10時40分_系統3001","日の出方面","","","","3001",""
"4001","平日（枝光）","平日_11時00分_系統4001","山王方面","","","","4001",""
"2001","平日（枝光）","平日_11時00分_系統2001","枝光小学校方面","","","","2001",""
"3001","平日（枝光）","平日_11時20分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_11時20分_系統1001","荒手方面","","","","1001",""
"4002","平日（枝光）","平日_11時40分_系統4002","山王・藤見町方面","","","","4002",""
"1001","平日（枝光）","平日_11時40分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_12時00分_系統3001","日の出方面","","","","3001",""
"2001","平日（枝光）","平日_12時00分_系統2001","枝光小学校方面","","","","2001",""
"3001","平日（枝光）","平日_12時20分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_12時20分_系統1001","荒手方面","","","","1001",""
"4001","平日（枝光）","平日_12時40分_系統4001","山王方面","","","","4001",""
"1001","平日（枝光）","平日_12時40分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_13時00分_系統3001","日の出方面","","","","3001",""
"2001","平日（枝光）","平日_13時00分_系統2001","枝光小学校方面","","","","2001",""
"1001","平日（枝光）","平日_13時20分_系統1001","荒手方面","","","","1001",""
"4002","平日（枝光）","平日_13時20分_系統4002","山王・藤見町方面","","","","4002",""
"1001","平日（枝光）","平日_13時40分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_13時40分_系統3001","日の出方面","","","","3001",""
"2001","平日（枝光）","平日_14時00分_系統2001","枝光小学校方面","","","","2001",""
"4001","平日（枝光）","平日_14時00分_系統4001","山王方面","","","","4001",""
"1001","平日（枝光）","平日_14時20分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_14時20分_系統3001","日の出方面","","","","3001",""
"4001","平日（枝光）","平日_14時40分_系統4001","山王方面","","","","4001",""
"1001","平日（枝光）","平日_14時40分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_15時00分_系統3001","日の出方面","","","","3001",""
"2001","平日（枝光）","平日_15時00分_系統2001","枝光小学校方面","","","","2001",""
"4001","平日（枝光）","平日_15時50分_系統4001","山王方面","","","","4001",""
"1001","平日（枝光）","平日_15時50分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_16時10分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_16時10分_系統1001","荒手方面","","","","1001",""
"4002","平日（枝光）","平日_16時30分_系統4002","山王・藤見町方面","","","","4002",""
"1001","平日（枝光）","平日_16時30分_系統1001","荒手方面","","","","1001",""
"3001","平日（枝光）","平日_16時50分_系統3001","日の出方面","","","","3001",""
"1001","平日（枝光）","平日_16時50分_系統1001","荒手方面","","","","1001",""
