trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1平日_06時50分_系統111001,06:50:00,06:50:00,30_01,1,豊里駅前,0,1
1平日_06時50分_系統111001,06:53:00,06:53:00,31_01,2,豊里駅前,0,0
1平日_06時50分_系統111001,06:54:00,06:54:00,32_01,3,豊里駅前,0,0
1平日_06時50分_系統111001,06:56:00,06:56:00,33_01,4,豊里駅前,0,0
1平日_06時50分_系統111001,06:58:00,06:58:00,34_01,5,豊里駅前,0,0
1平日_06時50分_系統111001,06:59:00,06:59:00,35_01,6,豊里駅前,0,0
1平日_06時50分_系統111001,07:00:00,07:00:00,36_01,7,豊里駅前,0,0
1平日_06時50分_系統111001,07:02:00,07:02:00,37_01,8,豊里駅前,0,0
1平日_06時50分_系統111001,07:03:00,07:03:00,38_01,9,豊里駅前,0,0
1平日_06時50分_系統111001,07:04:00,07:04:00,39_01,10,豊里駅前,0,0
1平日_06時50分_系統111001,07:05:00,07:05:00,40_01,11,豊里駅前,0,0
1平日_06時50分_系統111001,07:06:00,07:06:00,41_01,12,豊里駅前,0,0
1平日_06時50分_系統111001,07:07:00,07:07:00,42_01,13,豊里駅前,0,0
1平日_06時50分_系統111001,07:10:00,07:10:00,43_01,14,豊里駅前,0,0
1平日_06時50分_系統111001,07:11:00,07:11:00,44_01,15,豊里駅前,0,0
1平日_06時50分_系統111001,07:15:00,07:15:00,45_01,16,豊里駅前,0,0
1平日_06時50分_系統111001,07:16:00,07:16:00,46_01,17,豊里駅前,0,0
1平日_06時50分_系統111001,07:18:00,07:18:00,47_01,18,豊里駅前,0,0
1平日_06時50分_系統111001,07:20:00,07:20:00,48_01,19,豊里駅前,0,0
1平日_06時50分_系統111001,07:21:00,07:21:00,49_01,20,豊里駅前,0,0
1平日_06時50分_系統111001,07:24:00,07:24:00,50_01,21,豊里駅前,0,0
1平日_06時50分_系統111001,07:25:00,07:25:00,51_01,22,豊里駅前,0,0
1平日_06時50分_系統111001,07:26:00,07:26:00,52_01,23,豊里駅前,0,0
1平日_06時50分_系統111001,07:27:00,07:27:00,53_01,24,豊里駅前,0,0
1平日_06時50分_系統111001,07:28:00,07:28:00,54_01,25,豊里駅前,0,0
1平日_06時50分_系統111001,07:29:00,07:29:00,55_01,26,豊里駅前,1,0
1平日_06時55分_系統121002,06:55:00,06:55:00,1_01,1,県立病院前,0,1
1平日_06時55分_系統121002,06:57:00,06:57:00,2_01,2,県立病院前,0,0
1平日_06時55分_系統121002,06:58:00,06:58:00,3_01,3,県立病院前,0,0
1平日_06時55分_系統121002,07:01:00,07:01:00,4_01,4,県立病院前,0,0
1平日_06時55分_系統121002,07:02:00,07:02:00,5_01,5,県立病院前,0,0
1平日_06時55分_系統121002,07:03:00,07:03:00,6_01,6,県立病院前,0,0
1平日_06時55分_系統121002,07:04:00,07:04:00,7_01,7,県立病院前,0,0
1平日_06時55分_系統121002,07:05:00,07:05:00,8_01,8,県立病院前,0,0
1平日_06時55分_系統121002,07:06:00,07:06:00,9_01,9,県立病院前,0,0
1平日_06時55分_系統121002,07:07:00,07:07:00,10_01,10,県立病院前,0,0
1平日_06時55分_系統121002,07:11:00,07:11:00,11_01,11,県立病院前,0,0
1平日_06時55分_系統121002,07:13:00,07:13:00,12_01,12,県立病院前,0,0
1平日_06時55分_系統121002,07:14:00,07:14:00,13_01,13,県立病院前,0,0
1平日_06時55分_系統121002,07:15:00,07:15:00,14_01,14,県立病院前,0,0
1平日_06時55分_系統121002,07:16:00,07:16:00,15_01,15,県立病院前,0,0
1平日_06時55分_系統121002,07:17:00,07:17:00,16_01,16,県立病院前,0,0
1平日_06時55分_系統121002,07:18:00,07:18:00,17_01,17,県立病院前,0,0
1平日_06時55分_系統121002,07:19:00,07:19:00,18_01,18,県立病院前,0,0
1平日_06時55分_系統121002,07:23:00,07:23:00,19_01,19,県立病院前,0,0
1平日_06時55分_系統121002,07:25:00,07:25:00,20_01,20,県立病院前,0,0
1平日_06時55分_系統121002,07:27:00,07:27:00,21_01,21,県立病院前,0,0
1平日_06時55分_系統121002,07:28:00,07:28:00,22_01,22,県立病院前,0,0
1平日_06時55分_系統121002,07:30:00,07:30:00,23_01,23,県立病院前,0,0
1平日_06時55分_系統121002,07:34:00,07:34:00,24_01,24,県立病院前,0,0
1平日_06時55分_系統121002,07:37:00,07:37:00,25_01,25,県立病院前,1,0
1平日_07時20分_系統101001,07:20:00,07:20:00,11_01,1,町民体育館,0,1
1平日_07時20分_系統101001,07:21:00,07:21:00,59_01,2,町民体育館,0,0
1平日_07時20分_系統101001,07:24:00,07:24:00,58_01,3,町民体育館,0,0
1平日_07時20分_系統101001,07:25:00,07:25:00,66_01,4,町民体育館,0,0
1平日_07時20分_系統101001,07:26:00,07:26:00,57_01,5,町民体育館,0,0
1平日_07時20分_系統101001,07:27:00,07:27:00,56_01,6,町民体育館,0,0
1平日_07時20分_系統101001,07:28:00,07:28:00,67_01,7,町民体育館,0,0
1平日_07時20分_系統101001,07:30:00,07:30:00,53_01,8,町民体育館,0,0
1平日_07時20分_系統101001,07:31:00,07:31:00,54_01,9,町民体育館,0,0
1平日_07時20分_系統101001,07:32:00,07:32:00,55_01,10,町民体育館,0,0
1平日_07時20分_系統101001,07:35:00,07:35:00,60_01,11,町民体育館,0,0
1平日_07時20分_系統101001,07:36:00,07:36:00,61_01,12,町民体育館,0,0
1平日_07時20分_系統101001,07:38:00,07:38:00,62_01,13,町民体育館,0,0
1平日_07時20分_系統101001,07:40:00,07:40:00,63_01,14,町民体育館,0,0
1平日_07時20分_系統101001,07:42:00,07:42:00,64_01,15,町民体育館,0,0
1平日_07時20分_系統101001,07:43:00,07:43:00,65_01,16,町民体育館,0,0
1平日_07時20分_系統101001,07:47:00,07:47:00,68_01,17,町民体育館,0,0
1平日_07時20分_系統101001,07:48:00,07:48:00,69_01,18,町民体育館,0,0
1平日_07時20分_系統101001,07:49:00,07:49:00,70_01,19,町民体育館,1,0
1平日_08時05分_系統122001,08:05:00,08:05:00,25_01,1,羽根沢温泉,0,1
1平日_08時05分_系統122001,08:08:00,08:08:00,24_01,2,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:11:00,08:11:00,23_02,3,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:14:00,08:14:00,29_02,4,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:15:00,08:15:00,22_02,5,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:16:00,08:16:00,21_02,6,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:18:00,08:18:00,20_02,7,羽根沢温泉,0,0
1平日_08時05分_系統122001,08:20:00,08:20:00,19_02,8,羽根沢温泉,0,0
