stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1_01,,羽根沢温泉,,38.8149131,140.1522235,1_01,,0,
10_01,,真木,,38.8025145,140.2133917,10_01,,0,
10_02,,真木,,38.8024292,140.2133535,10_02,,0,
11_01,,鮭川村役場前,,38.7961505,140.2216257,11_01,,0,
12_01,,太陽館前,,38.7941629,140.2200624,12_01,,0,
12_02,,太陽館前,,38.7941602,140.2199505,12_02,,0,
13_01,,上大渕,,38.7892401,140.2198873,13_01,,0,
13_02,,上大渕,,38.78925,140.21977,13_02,,0,
14_01,,向居入口,,38.7861508,140.220732,14_01,,0,
14_02,,向居入口,,38.7861314,140.2206026,14_02,,0,
15_01,,川口橋,,38.7823964,140.2266514,15_01,,0,
15_02,,川口橋,,38.7823519,140.2265408,15_02,,0,
16_01,,川口入口,,38.78446,140.23482,16_01,,0,
16_02,,川口入口,,38.7843956,140.2348234,16_02,,0,
16_03,,川口入口,,38.7847206,140.2349481,16_03,,0,
16_04,,川口入口,,38.7846583,140.2349046,16_04,,0,
17_01,,叶口,,38.7830052,140.2407179,17_01,,0,
17_02,,叶口,,38.7829304,140.240669,17_02,,0,
18_01,,泉川下,,38.7812934,140.2464705,18_01,,0,
18_02,,泉川下,,38.7812327,140.2464069,18_02,,0,
19_01,,あたご町,,38.7776345,140.2708211,19_01,,0,
19_02,,あたご町,,38.77754,140.27079,19_02,,0,
2_01,,温泉入口,,38.817924,140.160266,2_01,,0,
2_02,,温泉入口,,38.817849,140.160252,2_02,,0,
20_01,,西山,,38.7713593,140.2802121,20_01,,0,
20_02,,西山,,38.7712834,140.2801551,20_02,,0,
21_01,,北高口,,38.7691601,140.2887963,21_01,,0,
21_02,,北高口,,38.7691025,140.288842,21_02,,0,
22_01,,川原町,,38.7699603,140.2915973,22_01,,0,
22_02,,川原町,,38.7698823,140.2915561,22_02,,0,
23_01,,仲町,,38.7659254,140.2984703,23_01,,0,
23_02,,仲町,,38.7659421,140.2983885,23_02,,0,
24_01,,新庄駅前,,38.7621931,140.3051613,24_01,,0,
25_01,,県立病院前,,38.7585152,140.3019245,25_01,,0,
26_01,,保健センター,,38.7948325,140.2215846,26_01,,0,
27_01,,鶴田野,,38.7896913,140.2286467,27_01,,0,
27_02,,鶴田野,,38.7896301,140.2285307,27_02,,0,
28_01,,農村公園,,38.7863471,140.2329528,28_01,,0,
28_02,,農村公園,,38.7862892,140.2328771,28_02,,0,
29_01,,マルシェゴーノメ新庄店前,,38.7721,140.29394,29_01,,0,
29_02,,マルシェゴーノメ新庄店前,,38.77203,140.29404,29_02,,0,
3_01,,羽根沢本村,,38.8179613,140.1674221,3_01,,0,
3_02,,羽根沢本村,,38.817922,140.1673041,3_02,,0,
30_01,,大芦沢,,38.8516177,140.1478719,30_01,,0,
31_01,,田の沢公民館前,,38.8480172,140.1582726,31_01,,0,
31_02,,田の沢公民館前,,38.8479591,140.1582968,31_02,,0,
32_01,,田の沢,,38.847914,140.1621222,32_01,,0,
32_02,,田の沢,,38.8478701,140.1620935,32_02,,0,
33_01,,上芦沢,,38.8457648,140.1724767,33_01,,0,
33_02,,上芦沢,,38.8456785,140.1724331,33_02,,0,
34_01,,旧芦沢分校前,,38.8441706,140.1784239,34_01,,0,
34_02,,旧芦沢分校前,,38.8441742,140.1783348,34_02,,0,
35_01,,下芦沢,,38.8428766,140.1826871,35_01,,0,
35_02,,下芦沢,,38.8428331,140.1826405,35_02,,0,
36_01,,小坂口,,38.8418698,140.1862692,36_01,,0,
36_02,,小坂口,,38.8418305,140.1862313,36_02,,0,
37_01,,旧曲川保育所前,,38.8319276,140.1910936,37_01,,0,
38_01,,中組,,38.8293158,140.1913258,38_01,,0,
38_02,,中組,,38.82931,140.19123,38_02,,0,
39_01,,川崎,,38.8275151,140.1916454,39_01,,0,
39_02,,川崎,,38.8274955,140.1915791,39_02,,0,
4_01,,小和田,,38.8066057,140.181438,4_01,,0,
4_02,,小和田,,38.8065591,140.1813516,4_02,,0,
40_01,,旧曲川小前,,38.8223099,140.192765,40_01,,0,
40_02,,旧曲川小前,,38.8222779,140.1926739,40_02,,0,
41_01,,本村,,38.8212581,140.1934359,41_01,,0,
41_02,,本村,,38.8213066,140.1933582,41_02,,0,
42_01,,小杉,,38.8176954,140.1881969,42_01,,0,
43_01,,上野公民館前,,38.8147718,140.1945097,43_01,,0,
43_02,,上野公民館前,,38.8146824,140.194544,43_02,,0,
44_01,,上野口,,38.8166284,140.2021312,44_01,,0,
44_02,,上野口,,38.8165766,140.2022486,44_02,,0,
45_01,,観音寺,,38.81702,140.21937,45_01,,0,
45_02,,観音寺,,38.8170006,140.2194727,45_02,,0,
46_01,,西村,,38.8179489,140.2298792,46_01,,0,
46_02,,西村,,38.8179018,140.2298202,46_02,,0,
47_01,,こまどり保育所,,38.8175815,140.2348889,47_01,,0,
48_01,,庭月,,38.82019,140.2326088,48_01,,0,
48_02,,庭月,,38.8201863,140.2327087,48_02,,0,
49_01,,高土井,,38.824907,140.234057,49_01,,0,
49_02,,高土井,,38.824959,140.2341524,49_02,,0,
5_01,,清水田,,38.8046106,140.1863535,5_01,,0,
5_02,,清水田,,38.8045599,140.1862563,5_02,,0,
50_01,,鮭川中前,,38.8306943,140.228419,50_01,,0,
51_01,,高土井入口,,38.8305555,140.2349099,51_01,,0,
51_02,,高土井入口,,38.8304285,140.2349347,51_02,,0,
52_01,,南石名坂,,38.8315387,140.2394651,52_01,,0,
52_02,,南石名坂,,38.8314618,140.239496,52_02,,0,
53_01,,石名坂十字路,,38.8321892,140.2417135,53_01,,0,
53_02,,石名坂十字路,,38.8321269,140.2417605,53_02,,0,
54_01,,中石名坂,,38.83363,140.2424379,54_01,,0,
54_02,,中石名坂,,38.8336273,140.2425359,54_02,,0,
55_01,,豊里駅前,,38.83629,140.24259,55_01,,0,
56_01,,京塚,,38.8166,140.2364026,56_01,,0,
56_02,,京塚,,38.81659,140.2364805,56_02,,0,
57_01,,月立,,38.8114514,140.2322961,57_01,,0,
57_02,,月立,,38.8114069,140.2323987,57_02,,0,
58_01,,山の神,,38.8061137,140.2340441,58_01,,0,
58_02,,山の神,,38.8060901,140.2341522,58_02,,0,
59_01,,佐渡,,38.8004563,140.2259385,59_01,,0,
